课程名,学分,主讲教师,上课时间,开课院系,掉课率
科学仪器史,2,王哲然,3-6(全周),人文学院,39.54
达尔文革命,2,陆伊骊,5-2(后八周);2-2(后八周),人文学院,12.91
中国女性日常生活专题,3,冯乃希,3-4(全周);3-3(全周),人文学院,18.79
科学博物馆学,2,刘年凯,3-4(全周),人文学院,18.75
书法临摹与创作,2,戚学民,2-6(全周),人文学院,15.28
全球卫生史,2,沈宇斌,4-6(全周),人文学院,18.47
犹太文明：在传统与创新之间,2,宋立宏,4-2(全周),人文学院,18.55
古代世界的科技与文明,2,鲁博林,2-6(全周),人文学院,10.57
中西科技交流史,2,孙承晟,2-4(全周),人文学院,12.36
大学生心理健康,2,钱静,1-3(全周),社科学院,36.88
性别与科技,2,洪伟,5-2(全周),社科学院,13.88
欧洲联盟与中欧关系,3,史志钦,3-4(全周);3-3(全周),社科学院,11.08
中国宏观经济分析,2,靳卫萍,3-4(全周),社科学院,46.02
生活中的经济学,2,靳卫萍,3-3(全周),社科学院,43.3
当代世界政治重大议题研讨,2,刘瑜,1-2(全周),社科学院,36.66
中美关系：问题与政策,3,达巍,1-2(全周),社科学院,19.44
战争与经济发展,2,徐志浩,4-1(后八周);4-2(后八周),社科学院,15.36
空间、技术与政治哲学,2,孙宇辰,4-6(全周),社科学院,36.9
阅读亚当·斯密：道德、经济与政治,3,孙宇辰,1-6(全周),社科学院,30.64
C++语言程序设计,3,郑莉,2-6(全周),计算机系,14.41
C++语言程序设计,3,郑莉,3-6(全周),计算机系,16.08
C++语言程序设计,3,李超,3-4(全周),计算机系,16.69
操作系统,3,谌卫军,1-6(全周),计算机系,14.27
VC++面向对象与可视化程序设计,3,黄维通,3-6(全周),计算机系,12.35
并行计算基础,2,薛巍,3-6(前八周);1-6(前八周),计算机系,10.06
工业数据挖掘与分析,2,徐华,1-4(全周),计算机系,19.09
计算机程序设计基础(Python),2,乔林,5-2(全周),计算机系,16.0
计算机程序设计基础(Python),2,乔林,5-6(全周),计算机系,93.14
图书馆概论,1,韩丽风,2-2(前八周),图书馆,12.89
舞蹈欣赏与实践,1,邢高熙,2-4(全周),艺教中心,46.66
舞蹈欣赏与实践,1,邢高熙,2-6(全周),艺教中心,39.8
钢琴入门与音乐基础,1,黄垚,2-3(全周),艺教中心,33.64
钢琴入门与音乐基础,1,黄垚,2-5(全周),艺教中心,43.51
钢琴入门与音乐基础,1,黄垚,3-3(全周),艺教中心,32.58
钢琴入门与音乐基础,1,黄垚,3-5(全周),艺教中心,48.11
民族管弦乐合奏(2),1,吕建强,7-6(全周),艺教中心,15.12
管弦乐合奏(2),1,刘欣欣,7-6(全周),艺教中心,15.55
管乐合奏(2),1,张柏赫,5-6(全周),艺教中心,12.71
国际标准舞表演(4),1,高斌,6-3(全周);6-4(全周),艺教中心,11.29
国际标准舞表演(4),1,高斌,6-6(全周),艺教中心,16.7
独唱重唱艺术表演(4),1,丁毅,5-6(全周),艺教中心,17.17
独舞与多人舞艺术表演(4),1,邢高熙,7-4(全周);7-3(全周),艺教中心,12.07
音乐会管乐合奏(2),1,张柏赫,6-6(全周),艺教中心,10.54
西方弦乐合奏训练(1),1,刘欣欣,7-4(全周);7-3(全周),艺教中心,10.4
