课程名,学分,主讲教师,上课时间,开课院系,掉课率
运营管理,2,梁湧,"7-5(8,13-14周);7-4(8,10-12周)",经管学院,31.15
全球领导力,2,李宁,3-2(1-11周),经管学院,34.98
房地产金融与投资,2,王洪,"6-4(8-9,13-14周);6-3(8-9,13-14周)",经管学院,35.57
管理案例研究与分析,2,周立,(前八周),经管学院,37.26
企业决策方法,1,,5-4(3周);5-3(3周);5-2(3周),经管学院,34.41
管理学概论,1,宁向东,4-4(1周);4-3(1周);4-2(1周),经管学院,32.48
管理实战模拟,1,黄岩,"
6-6(6-7周);6-5(6-7周);6-4(6-7周)",经管学院,43.85
领导艺术,1,谢伟,7-4(2周);7-3(2周);7-2(2周),经管学院,48.84
全球商务观察,1,张进,(前八周),经管学院,45.37
创业实验室,2,杨德林,1-1(全周),经管学院,36.69
高级谈判,2,廖振波,"6-5(1,3周);6-4(1,3周);6-3(1,3周)",经管学院,46.47
财务报表分析,2,罗玫,3-4(后八周);3-3(后八周),经管学院,33.44
财务报表分析,2,陈武朝,"4-1(1,4周);5-4(1,4周);5-4(1,4周)",经管学院,37.32
风险管理,2,王茂琪,5-4(15周);5-3(15周);2-4(15周),经管学院,34.58
税务筹划,2,陈晓,(前八周),经管学院,39.19
运营管理,1,肖勇波,6-1(12周),经管学院,34.01
运营管理,1,肖勇波,7-4(2周);7-3(2周);7-2(2周),经管学院,33.33
管理心理学,1,彭凯平,5-1(2周);4-4(2周);4-3(2周),经管学院,43.45
创新管理,1,陈劲,7-4(2周);7-3(2周);7-2(2周),经管学院,38.95
创新管理,1,陈劲,7-2(1周);7-1(1周);6-4(1-15周),经管学院,47.3
中国资本市场与公司财务,2,黄张凯,(后八周),经管学院,46.23
积极心理学,2,倪子君,4-6(前八周),经管学院,37.33
能源与环境经济学,3,曹静,"5-2(1-4,7-14周);5-1(1-4,7-14周)",经管学院,49.75
固定收益证券与利率模型,3,WANG…,2-2(1-12周);2-1(1-12周),经管学院,40.3
固定收益证券与利率模型,3,WANG…,"5-3(2,6,9,12周);5-2(2,6周)",经管学院,39.14
风险投资与私募股权,2,赖宗志,5-4(13-14周);5-3(13-14周),经管学院,41.45
中国经济前沿问题解读,1,朱云来,"3-6(1,3,5,7周)",经管学院,45.48
中国经济前沿问题解读,3,陆毅,4-6(全周),经管学院,45.58
全球化企业的管理,2,陈涛涛,"4-1(9-10,12-16周);4-2(11周)",经管学院,35.23
中国制度环境与商法,2,金勇军,6-5(1-6周);6-4(1-6周);6-3(1-6周),经管学院,37.11
中国制度环境与商法,2,金勇军,7-6(1-6周);7-5(1-6周),经管学院,42.25
中国制度环境与商法,2,吕春燕,"2-1(10,13周);1-4(10,13周)",经管学院,44.01
中国制度环境与商法,2,金勇军,"6-6(2,4,6,8-9周)",经管学院,47.13
中国制度环境与商法,2,金勇军,"5-2(1-6,8-9,12周);5-1(1-6,8-9,12周)",经管学院,34.26
中国制度环境与商法,2,吕春燕,3-4(前八周);3-3(前八周),经管学院,48.78
企业的兴衰——中外企业发展史简析,2,潘庆中,4-2(前八周);4-1(前八周),经管学院,34.18
企业文化与管理,2,张勉,"6-2(1-6,8周);6-1(1-6,8周)",经管学院,45.23
企业战略创新,2,朱恒源,"2-6(9-10,12-16周)",经管学院,44.54
商业模式,1,朱武祥,4-3(1周);4-2(1周);4-1(1周),经管学院,41.97
商业模式,2,朱武祥,2-6(前八周),经管学院,31.2
企业组织与管理实践研究,2,刘广灵,2-6(1-11周),深研生院,32.9
信息、合同和组织经济学,3,WANG…,2-4(全周);2-3(全周),经管学院,49.21
整合实践项目,2,HAOJIE,(全周),经管学院,30.84
整合实践项目,2,HAOJIE,(全周),经管学院,38.57
整合实践项目,2,刘茜,(全周),经管学院,37.55
整合实践项目,2,赵冬青,(全周),经管学院,33.26
整合实践项目,2,林志杰,(全周),经管学院,46.97
整合实践项目,2,HAOJIE,(全周),经管学院,37.53
整合实践项目,2,沈涛,(全周),经管学院,49.37
整合实践项目,2,沈涛,(全周),经管学院,31.06
实验经济学,3,刘潇,3-6(全周),经管学院,44.41
高级金融问题研究,1,WANG…,4-1(3周);3-4(3周);3-3(3周),经管学院,39.39
高级金融问题研究,1,王天宇,4-1(3周);3-4(3周);3-3(3周),经管学院,36.97
高级金融问题研究,1,王天宇,3-5(3周);3-4(3周);3-3(3周),经管学院,43.26
高级金融问题研究,1,王天宇,6-5(3周);6-4(3周);6-3(3周),经管学院,30.31
高级金融问题研究,1,WANG…,3-5(3周);3-4(3周);3-3(3周),经管学院,31.16
高级金融问题研究,1,WANG…,6-5(3周);6-4(3周);6-3(3周),经管学院,38.94
高级金融问题研究,1,庞家任,(全周),经管学院,36.68
财务报表分析与股权估值,3,罗玫,5-2(后八周);2-2(后八周),经管学院,49.38
清华探究,1,卢达溶,5-2(5周);5-1(5周);4-4(5周),经管学院,34.82
清华探究,1,卢达溶,4-1(12周),经管学院,39.94
清华探究,1,卢达溶,5-1(2周);4-4(2周);4-3(2周),经管学院,35.18
清华新兴技术探究,1,卢达溶,(后八周),经管学院,33.1
创新创业战略,2,高旭东,(后八周),经管学院,49.97
创新创业战略,2,高建,(前八周),经管学院,34.26
量化投资分析,3,LINJIAN…,"3-4(9-10,12周);7-4(1-4周)",经管学院,48.87
创业开发,2,陈劲,(前八周),经管学院,38.48
清华新兴技术探究II,1,卢达溶,"5-3(3,6,13周);5-4(3,6,13周)",经管学院,34.23
中国金融实务课堂(II),2,沈涛,1-6(2-12周),经管学院,45.32
实战中的市场营销管理,1,张帆,"1-3(1-2,4-7,9,16周);1-4(全周)",经管学院,32.4
网络时代的商业变革,3,毛波,"6-5(1,3,5,8-9,13-14周)",经管学院,41.09
网络时代的商业变革,3,毛波,"7-4(1,3,5,8-9,13周)",经管学院,33.38
中国根基系列讲座,2,庞家任,"5-4(1-6,8周);5-3(1-6,8周)",经管学院,38.05
战略投融资,2,张陶伟,(前八周),经管学院,36.64
管理案例研究实践,1,于春玲,(前八周),经管学院,30.24
证券投资模式与策略,2,潘福祥,1-6(前八周),经管学院,48.88
中国金融实务课堂4-基金投资与行业分析,2,庞家任,2-6(1-11周),经管学院,45.22
中国金融实务课堂4-基金投资与行业分析,2,刘广灵,3-6(1-10周),经管学院,40.31
管理的理论与实践,2,宁向东,(后八周),经管学院,42.9
营销分析,3,梁屹天,1-4(5-16周);1-3(5-16周),经管学院,42.96
数据分析战略与实践,3,刘登攀,1-2(后八周);3-4(后八周),经管学院,41.18
商务分析导论,2,刘登攀,"5-4(9-10,12-16周);5-3(1-8,11周)",经管学院,47.25
商务分析整合实践,3,徐心,4-2(6-16周);4-1(6-16周),经管学院,30.28
商务分析整合实践,3,刘登攀,4-2(6-16周);4-1(6-16周),经管学院,39.69
商务分析整合实践,3,王纯,4-2(6-16周);4-1(6-16周),经管学院,48.48
私募股权基金的法律问题,2,吕春燕,5-4(前八周);5-3(前八周),经管学院,42.38
金融风险管理,1,PeiSai…,(后八周),经管学院,37.11
金融科技导论,2,何平,(后八周),经管学院,41.45
公司估值,2,陆瑶,3-4(前八周);3-3(前八周),经管学院,43.39
全球胜任力(西班牙模块),1,钱小军,(前八周),经管学院,37.22
财务会计与控制,2,肖星,7-1(6周);4-4(6周);4-3(6周),经管学院,35.08
中国ESG前沿模式探究系列,1,姚雯,(后八周),经管学院,41.48
权力、资本与大国兴衰,1,黄张凯,7-4(2周);7-3(2周);7-2(2周),经管学院,35.83
权力、资本与大国兴衰,1,黄张凯,"
7-2(1周);7-1(1周);6-4(1周)",经管学院,43.13
数字化转型,2,李婷,"1-2(1-2,4,13,16周);1-1(1-2,4,13,16周)",经管学院,36.08
互联网金融,1,LINJIAN…,(前八周),经管学院,39.47
透析拉美,2,陈涛涛,"4-6(9-10,12-16周)",经管学院,18.05
金融前沿问题研究II,2,冯娟,"4-3(1,5周);4-2(1,5周);4-1(1,5周)",经管学院,30.66
国家经济安全,2,雷家骕,"1-3(9,11周);1-2(9,11周)",经管学院,47.44
密码学与网络安全,3,王自干,1-4(1-6周);1-3(1-6周);3-4(1-6周),经管学院,49.17
人工智能与企业价值,1,许达,(前八周),经管学院,82.51
人工智能和金融投资,3,尤海峰,1-2(前八周);3-2(前八周),经管学院,86.84
博弈论与商业决策,1,王勇,6-1(12周),经管学院,30.86
博弈论与商业决策,1,王勇,4-3(1周);4-2(1周);4-1(1周),经管学院,39.63
洞察中国,1,林志杰,(前八周),经管学院,45.94
审计理论与实务,1,李丹,(后八周),经管学院,47.2
全球责任,1,HUJIA,4-2(1-4周);4-1(1-4周),经管学院,48.42
论文概览和金融数据库,3,王自干,"4-1(3,5周);5-4(3,5周);5-4(3,5周)",经管学院,33.43
数智创新驱动绿色运营,1,郦金梁,(后八周),经管学院,41.71
政府与市场,2,巫永平,1-4(12-16周);4-2(12-16周),公管学院,41.02
比较政治与政府,3,王庆新,1-2(前八周);3-4(前八周),公管学院,34.49
领导科学与艺术,3,王有强,6-4(前八周);6-3(前八周),公管学院,41.32
城市发展与管理,3,刘志林,5-2(全周),公管学院,31.75
区域发展与政策,2,殷存毅,3-6(5-9周);1-2(5-9周),公管学院,44.0
区域发展与政策,2,孟延春,"(9,12-14周)",公管学院,41.18
区域发展与政策,3,殷存毅,2-6(全周),公管学院,47.12
治理与发展,3,崔之元,4-6(后八周);1-6(后八周),公管学院,43.28
公共管理实践,3,郑振清,(9周),公管学院,32.71
中国宪法与行政法,2,于安,"(2,4,6,8周)",公管学院,48.98
发展理论与实践,3,钱美君,2-6(后八周);3-6(后八周),公管学院,41.66
公共演说,1,管彦杰,"(12,14周)",公管学院,47.56
谈判技巧,1,潘洁,"(8,10周)",公管学院,48.03
公共事务伦理,2,贾西津,5-2(12-16周);2-3(12-16周),公管学院,39.89
公共事务伦理,2,贾西津,6-4(1-10周);6-3(1-10周),公管学院,47.34
公共事务伦理,2,贾西津,6-5(1-10周);6-4(1-10周),公管学院,43.08
发展实践专题讲座I,1,CHRISTENSEN…,2-2(7-8周);2-1(7-8周),公管学院,35.19
中国发展实践考察,3,殷成志,(16周),公管学院,44.67
领导力,2,于永达,7-4(前八周);7-3(前八周),公管学院,48.38
公共管理前沿I,1,彭宗超,7-2(5-8周);7-1(5-8周),公管学院,36.52
论文写作,1,张楠,3-2(1-5周),公管学院,40.06
论文写作,1,刘求实,(9周),公管学院,35.49
公共管理前沿II,2,邓国胜,1-4(5-9周);1-3(5-9周),公管学院,44.42
发展战略与规划,2,杨永恒,5-4(5-9周);5-3(5-9周);5-2(5-9周),公管学院,39.88
非营利组织管理,2,蓝煜昕,4-6(5-9周);2-2(5-9周),公管学院,47.12
非营利组织管理,2,王名,6-2(后八周);6-1(后八周),公管学院,32.71
社会保障政策,2,杨燕绥,4-2(5-9周);5-6(5-9周),公管学院,41.59
社会保障政策,2,杨燕绥,6-2(1-10周),公管学院,31.92
医院战略管理,2,马伟杭,4-1(后八周);4-2(后八周),国际研究生院,34.04
医院战略管理,2,邱月,"6-1(9,12-13,15周);7-2(10-11,14周)",国际研究生院,42.65
医院运营与流程管理,2,谢小磊,"6-4(1,3,5,7周);6-3(1,3,5,7周)",国际研究生院,43.72
公文写作,2,慕玲,6-4(前八周);6-3(前八周),公管学院,49.23
卫生经济学,2,CHENYI,4-2(前八周);4-1(前八周),国际研究生院,31.48
卫生经济学,2,邱亨嘉,"7-2(9,12-13,15周);7-1(9,12-13,15周)",国际研究生院,50.0
医院财务管理,2,张宗久,5-4(前八周);5-3(前八周),国际研究生院,47.48
医院人力资源管理,2,张宗久,5-2(前八周);5-1(前八周),国际研究生院,36.65
医院后勤管理,2,钱庆文,"6-4(1,3,5,7周);6-3(1,3,5,7周)",国际研究生院,46.65
中国传统治国思想,2,黄振萍,4-6(12-16周);2-2(12-16周),公管学院,33.09
大数据治理与政策,2,孟庆国,3-6(1-10周),公管学院,35.82
冲突管理,2,彭宗超,4-6(前八周),公管学院,48.38
冲突管理,2,彭宗超,"(8,10,12,14周)",公管学院,41.01
医药卫生法律与政策,2,邱月,"6-2(1,3,5,7周);6-1(1,3,5,7周)",国际研究生院,44.24
医院管理伦理学,2,张丹,3-4(前八周);3-3(前八周),国际研究生院,49.25
健康服务研究方法,2,邱亨嘉,2-5(后八周);2-4(后八周),国际研究生院,32.72
医院管理案例与决策,2,钱庆文,"5-5(9,12-13,15周);6-4(1-16周)",国际研究生院,37.61
医院评审评价与医院管理工具,2,张丹,"6-2(1,3,5,7周);6-1(1,3,5,7周)",国际研究生院,38.93
“一带一路”倡议与全球经济新格局,3,张鹏龙,3-2(前八周);5-2(前八周),公管学院,40.91
香港公共行政,2,潘洁,"(10,12,14,16周)",公管学院,42.35
香港政治与基本法,2,潘洁,"(2,4,6,8周)",公管学院,30.17
国际组织与全球治理,2,桂天晗,7-2(1-10周),公管学院,48.73
国土空间规划与发展,2,殷成志,1-6(12-16周);4-4(12-16周),公管学院,49.11
“三农”问题前沿,2,王亚华,3-6(1-10周),公管学院,32.78
公益慈善与社会创新,2,蓝煜昕,6-6(后八周),公管学院,30.57
民族宗教事务管理,2,曹峰,5-2(5-9周);3-2(5-9周),公管学院,39.71
粤港澳大湾区建设的理论与实践,2,于安,"(9,12-14周)",公管学院,47.63
湾区发展的全球实践,2,李应博,(4-5周),公管学院,37.38
公共管理案例分析,2,慕玲,(全周),公管学院,30.06
党的领导与国家治理现代化,2,鄢一龙,4-6(后八周),公管学院,31.21
党的领导与国家治理现代化,2,鄢一龙,"(8,10周)",公管学院,39.15
智能社会治理,2,苏竣,4-6(后八周),公管学院,48.43
财务报表分析,2,陈武朝,6-2(后八周);6-1(后八周),金融学院,38.71
财务报表分析,2,陈武朝,7-4(后八周);7-3(后八周),金融学院,49.52
固定收益证券与利率模型,3,施展,4-2(前八周);4-1(前八周),金融学院,30.51
财富管理与私人银行,1,高皓,2-6(后八周),金融学院,43.44
投资交易与风险管理实务,2,焦瑾璞,1-2(后八周);1-1(后八周),金融学院,49.67
固定收益、货币与商品实务,2,施展,4-6(后八周),金融学院,39.66
国际发展融资,2,姜宏斌,6-6(前八周),金融学院,37.54
金融科技行业实践,1,陈卓,(全周),金融学院,44.18
国际贸易与金融争端,3,鞠建东,2-2(全周);2-1(全周),金融学院,32.78
大宗商品与数字货币,3,汤珂,2-4(全周);2-3(全周),金融学院,38.76
高等国际贸易与金融争端,3,鞠建东,4-6(全周),金融学院,36.27
宏观经济学中的数值方法,2,张福栋,6-4(前八周);6-3(前八周),金融学院,41.1
金融科技案例与创业实践,2,赵岑,1-6(前八周),金融学院,39.47
教育社会学,2,罗燕,1-2(全周),教研院,45.03
组织社会学,3,何晓斌,2-2(全周),社科学院,48.88
农村社会学专题研究,3,严海蓉,2-4(全周);2-3(全周),社科学院,44.6
现代化研究,3,仲伟民,2-2(全周),人文学院,31.61
科学社会学与科技政策专题,2,李正风,2-2(2-12周),社科学院,37.27
社会分层与社会流动,3,何晓斌,1-4(全周);1-3(全周),社科学院,35.51
社会学研究方法专题－定性研究,3,孙秀林,5-2(全周),社科学院,45.17
模态逻辑,3,石辰威,5-2(全周),人文学院,13.15
德国哲学研究,3,范大邯,2-6(全周),人文学院,16.16
宋明理学研究,3,赵金刚,3-6(前八周);2-6(前八周),人文学院,15.45
宗教学专题研究,3,朱东华,2-2(全周),人文学院,11.71
古文字研究,3,赵平安,3-2(全周),人文学院,42.05
科学哲学和技术哲学专题研究,2,王巍,2-2(1-11周),人文学院,33.47
军备控制与安全研究,2,李彬,3-6(全周),社科学院,30.88
东亚文化史研究：文献与方法,3,刘晓峰,2-2(全周),人文学院,41.57
政治学方法论研究,3,张小劲,4-4(全周);4-3(全周),社科学院,44.5
健康心理学,2,刘静远,6-2(后八周);6-1(后八周),心理系,38.18
健康心理学,2,倪士光,6-4(3周);6-3(3周);3-2(1-3周),心理系,41.49
俄罗斯外交思想与实践,2,吴大辉,1-4(全周),社科学院,36.8
西方马克思主义专题,3,夏莹,4-2(全周),人文学院,18.09
俄国史研究专题,3,王奇,2-2(全周),人文学院,30.04
佛教哲学研究,3,圣凯,3-6(全周),人文学院,11.21
心理语言学,2,崔刚,1-4(全周),外文系,34.47
语言学流派,2,封宗信,5-4(全周),外文系,33.7
日本文化专题研究,3,孙彬,3-4(全周);3-3(全周),外文系,10.96
神经语言学,2,崔刚,2-4(全周),外文系,41.54
西方文论(2),2,生安锋,2-2(全周),外文系,35.23
汉英语法对比分析,2,何宏华,1-6(全周),外文系,30.39
阅读心理学,3,尹莉,3-2(全周),外文系,43.58
文学与历史,3,颜海平,1-4(全周);1-3(全周),外文系,35.36
语言现象的形式分析,2,刘明明,1-1(全周),外文系,11.45
句法研究前沿,3,胡笑适,1-2(全周),外文系,12.93
日语语言学文献研究,3,赵蓉,5-4(全周);5-3(全周),外文系,14.43
变体漢文文本的词汇研究,3,FUJIMOTO…,3-2(全周),外文系,30.03
印度文学研究,2,贾岩,3-6(全周),外文系,14.59
民事诉讼法学,3,陈杭平,4-2(全周),法学院,33.54
国际私法学,3,李旺,1-6(全周),法学院,39.23
国际经济法学,3,傅廷中,3-4(后八周);3-3(后八周),法学院,44.14
刑事诉讼法学,3,易延友,4-2(全周),法学院,35.07
法律文书,2,苗鸣宇,3-6(全周),法学院,34.68
外请学者法学专题讲座,1,郑若骅,(全周),法学院,15.37
能源法专题研究,2,王明远,3-3(全周),法学院,43.91
比较环境法专题,2,邓海峰,2-2(前八周);2-1(前八周),法学院,12.57
经济法总论,3,郑尚元,5-2(全周),法学院,48.41
法律职业伦理,2,陈新宇,2-1(全周),法学院,47.89
专利法专题研究,3,崔国斌,5-2(全周),法学院,48.19
外国知识产权法专题,2,崔国斌,(全周),法学院,16.97
中国文化与法,3,苏亦工,2-2(全周),法学院,16.79
社会保障法专题,3,郑尚元,3-6(前八周);2-6(前八周),法学院,47.19
中国公司法务实践,2,蓝洁,1-6(全周),法学院,31.75
法律写作、编辑和出版(1),1,龙俊,(前八周),法学院,19.17
国际仲裁案例研修,3,郑若骅,(全周),法学院,11.26
国际仲裁裁决的执行,2,郑若骅,(全周),法学院,19.6
知识产权法学,3,蒋舸,3-4(全周);3-3(全周),法学院,41.54
亚洲国际仲裁,4,郑若骅,(全周),法学院,12.55
投资仲裁专题研究,3,郑若骅,(全周),法学院,18.89
中美经济贸易关系中的法律问题,3,杨国华,1-4(全周);1-3(全周),法学院,19.82
公司法理论与实践,3,朱慈蕴,3-2(后八周);3-6(后八周),法学院,11.06
计算法学导论：新一代信息技术与法律,3,申卫星,1-4(全周);1-3(全周),法学院,14.97
法律方法专题研究,3,梁上上,4-2(全周),法学院,13.5
中国公司法和证券法,2,赵晨光,1-4(前八周);1-3(前八周),法学院,47.95
人格权法,2,程啸,2-2(前八周);2-1(前八周),法学院,38.99
跨境并购与国际融资,2,王开定,5-4(前八周);5-3(前八周),法学院,13.28
创新法律与政策,3,崔国斌,2-2(全周),法学院,18.96
婚姻家庭法,2,龙俊,2-6(全周),法学院,44.9
中国对外贸易和外商投资法,3,MAHONY…,4-2(前八周);3-2(前八周),法学院,47.41
新闻与传播学前沿讲座,2,史安斌,5-6(1-11周),新闻学院,43.19
舆论传播研究,3,陆洪磊,4-6(全周),新闻学院,30.48
媒介经营管理研究,3,崔保国,2-2(全周),新闻学院,49.25
跨文化传播,2,DUNHAM…,3-3(全周),新闻学院,45.09
传播学理论研究,3,史安斌,3-4(全周);3-3(全周),新闻学院,34.31
财经新闻写作与编辑,3,王丰,4-6(全周),新闻学院,45.97
媒介社会学,3,陈昌凤,2-4(全周);2-3(全周),新闻学院,42.15
财经新闻数据挖掘与分析,3,LEEJAS…,5-2(全周),新闻学院,30.72
传媒经济研究,3,杭敏,"7-5(1,4,8,10,13周);7-4(1,4,8,10,13周)",新闻学院,47.23
学术规范与传播职业伦理,1,王君超,5-3(前八周),新闻学院,35.47
媒体数据挖掘,3,沈阳,1-4(全周);1-3(全周),新闻学院,30.77
学术研究工作坊,2,张莉,(全周),新闻学院,46.92
新闻实务工作坊,2,吴璟薇,(全周),新闻学院,42.35
视听实务工作坊,2,梁君健,(全周),新闻学院,33.3
社会网络分析,3,陈梁,3-2(全周),新闻学院,36.47
风险传播,3,匡恺,3-2(全周),新闻学院,48.21
传播心理学,2,陈爽,5-2(1-11周),新闻学院,40.34
传播与社会治理专题,3,戴佳,1-4(全周);1-3(全周),新闻学院,43.41
财经新闻数据可视化,3,DUNHAM…,1-6(全周),新闻学院,44.94
深度报道采访与写作,2,张莉,1-2(1-11周),新闻学院,34.2
国外马克思主义研究,3,刘敬东,2-2(1-12周),马克思主义学院,38.66
中国近现代政治思想史研究,3,王宪明,5-2(全周),马克思主义学院,34.9
毛泽东思想研究,2,肖贵清,4-1(后八周);4-2(后八周),马克思主义学院,30.29
比较政治经济学：国家与市场,2,刘震,1-6(前八周),马克思主义学院,34.06
公民与道德教育专题研究,3,吴俊,5-2(3-12周);5-1(3-12周),马克思主义学院,40.29
马克思主义哲学前沿问题研究,3,王代月,3-2(1-15周),马克思主义学院,19.58
国外马克思主义经典文献精读,2,刘恩至,5-2(1-10周),马克思主义学院,31.46
中共党史文献研读(2),3,夏清,4-2(全周),马克思主义学院,42.35
中俄关系史文献研读,3,王奇,2-6(全周),人文学院,36.55
证明论,3,俞珺华,2-4(全周);2-3(全周),人文学院,16.7
古藏文文献与西藏历史研究,3,沈卫荣,2-6(后八周);2-4(后八周),人文学院,37.75
拉丁语阅读与翻译,3,张弢,4-2(全周),人文学院,16.65
汉藏佛学比较研究导论,3,沈卫荣,1-6(后八周);3-6(后八周),人文学院,39.04
汉语词汇专题研究,3,邱冰,4-2(前八周);1-2(前八周),人文学院,46.88
英国经验论,3,JIANGY…,5-4(全周);5-3(全周),人文学院,19.7
现代思想与现代视觉艺术,3,汪民安,3-6(全周),人文学院,47.86
基础巴利语(上),2,吴娟,2-6(全周),人文学院,11.28
行动哲学,3,TANGH…,4-2(全周),人文学院,10.07
康德的道德哲学,2,HOFFE…,3-3(后八周);1-3(后八周),人文学院,19.59
20世纪中西文学思潮比较专题,3,熊鹰,3-2(全周),人文学院,47.73
科学物质文化研究,2,王哲然,5-2(全周),人文学院,45.37
《通典》研究,3,顾涛,4-6(全周),人文学院,34.04
世界历史中的城市与国家,3,吕昭,2-6(全周),人文学院,33.8
全球史前沿：帝国,3,宋念申,3-2(全周),人文学院,36.25
科学史编史学,3,吴国盛,2-6(全周),人文学院,37.3
中国近现代医疗社会史研究,3,沈宇斌,1-4(全周);1-3(全周),人文学院,34.03
黑格尔与马克思经典研读(2),3,陈浩,2-6(全周),人文学院,15.54
科学博物馆学与科学传播,3,刘骁,5-4(全周);5-3(全周),人文学院,30.24
尼采与中国,3,范佳妮,2-4(全周);2-3(全周),人文学院,11.27
古典文明比较,3,RensKri…,3-2(全周),人文学院,31.09
中国与发展中国家,2,唐晓阳,1-6(全周),社科学院,32.8
青少年社会工作,3,蔡鑫,"
7-4(双周)",社科学院,40.1
社会工作伦理,3,陈洪涛,7-1(双周),社科学院,43.39
国际关系实证分析,2,孙学峰,5-3(全周),社科学院,39.62
恐怖主义及其治理,3,吴大辉,2-4(全周);2-3(全周),社科学院,44.04
政务大数据应用与分析,3,孟天广,3-2(全周),社科学院,31.4
创意精英与决策分析(下),1,唐晓阳,5-6(双周),社科学院,33.34
积极心理学,3,彭凯平,7-4(5-7周);7-3(5-7周);7-3(5-7周),心理系,36.05
政策实践(一),1,唐晓阳,(前八周),社科学院,30.59
数据与决策,3,钱静,4-2(全周),心理系,45.67
中西政治理论比较研究,2,任剑涛,3-2(前八周);3-1(前八周),社科学院,32.96
临床心理与咨询见习,3,刘丹,3-2(全周),心理系,41.75
应用计量经济学,3,孙震,3-6(全周),社科学院,15.92
中东的战争与变革,2,佘纲正,2-4(全周),社科学院,15.88
奥林匹克与国际体育研究,2,胡孝乾,3-2(全周),社科学院,38.22
经济史研究专题,3,龙登高,4-2(全周),社科学院,11.7
当代中国地方治理研究,3,杨雪冬,2-4(全周);2-3(全周),社科学院,30.15
经济科学与政策模型创新,2,谢丹夏,1-6(全周),社科学院,11.01
政府与市场经济学,2,李稻葵,2-4(1-11周);2-3(1-11周),社科学院,34.8
认知与智能,3,弭元元,2-2(全周),心理系,43.55
内战研究,2,陈冲,1-4(前八周);1-3(前八周),社科学院,43.86
跨大西洋关系：历史和议题,2,石岩,3-2(全周),社科学院,48.45
科学、技术与国际关系,2,董汀,2-2(全周),社科学院,41.75
数字经济基础与前沿,2,谢丹夏,2-3(全周),社科学院,16.27
自然资源、环境与国际关系,2,李彬,3-4(全周),社科学院,38.09
自然资源、环境与国际关系,2,李彬,2-4(全周),社科学院,49.19
中国思想、复杂社会与社会计算,3,罗家德,2-2(前八周);2-1(前八周),社科学院,34.31
东亚国际关系史,3,王敏钊,4-2(全周),社科学院,45.7
高级心理测量,2,钱静,5-2(后八周);5-1(后八周),心理系,42.98
高级心理测量,2,钱静,6-2(3-4周);6-1(3-4周);7-8(3-4周),心理系,32.95
奥林匹克营销,2,张冰,5-6(全周),社科学院,33.77
服装创新设计,2,李薇,"4-5(6,10周);4-4(6,10周)",美术学院,42.96
服装综合造型研究,2,臧迎春,"2-3(3-6周);4-1(3,5周);4-1(3-6周)",美术学院,39.07
色彩设计,2,李莉婷,1-4(3-6周);4-2(3-6周);1-3(3-6周),美术学院,45.76
民间陶瓷研究,1,邱耿钰,5-4(1-4周);5-3(1-4周),美术学院,38.63
品牌传播与设计,1,马泉,6-4(11-12周);6-3(11-12周),美术学院,36.43
视觉传达设计跨媒介研究,2,陈磊,5-4(9-12周);5-3(9-12周),美术学院,41.45
书籍设计,2,王红卫,1-4(13-16周);1-3(13-16周),美术学院,41.67
书籍设计,2,王红卫,1-2(4-5周);2-5(4周);1-1(1-3周),美术学院,36.54
信息、交互与创新设计,2,吴琼,2-2(9-12周);2-1(9-12周),美术学院,44.43
可持续设计理论与实践,2,刘新,1-4(前八周);1-3(前八周),美术学院,40.45
设计价值与体验,2,鲁晓波,1-4(13-16周);1-3(13-16周),美术学院,36.11
服务设计专题研究,2,付志勇,2-3(1-4周);5-4(1-4周);5-4(5-8周),美术学院,37.35
玻璃艺术,2,关东海,5-4(5-8周);5-3(5-8周);2-3(5-8周),美术学院,34.07
金属艺术,2,周尚仪,2-3(1-4周);5-4(1-4周);5-4(5-8周),美术学院,42.58
中国画笔墨情趣研究,2,王巍,1-4(7-8周);1-3(7-8周);3-3(7-8周),美术学院,48.48
丝网版画,2,文中言,5-4(12-14周);3-4(12-13周),美术学院,46.05
传统手工技艺创新设计研究,2,陈燕琳,"5-4(1-4,8-9周);6-4(1-2周)",美术学院,43.38
汉唐宋元文化史文献讲读,2,李静杰,6-2(前八周);6-1(前八周),美术学院,47.65
西方现当代美术研究,2,张敢,1-4(后八周);1-3(后八周),美术学院,41.98
服务设计与创新,2,王国胜,6-4(13-16周);6-3(13-16周),美术学院,45.89
大画幅摄影实践与研究,2,冯建国,3-4(9-12周);3-3(9-12周),美术学院,36.03
信息技术前沿与设计应用,2,徐迎庆,1-4(5-8周);1-3(5-8周);5-6(5-8周),美术学院,39.56
中古时期中国与周边地区文明,2,李静杰,6-4(前八周);6-3(前八周),美术学院,45.59
科普产品设计研究,2,张雷,1-4(1-4周);1-3(1-4周);3-3(1-4周),美术学院,43.68
科普展示设计研究,2,范寅良,1-2(1-4周);1-1(1-4周);3-3(1-4周),美术学院,40.22
交互展示设计研究,2,张烈,1-1(9-12周);4-2(9-12周),美术学院,48.84
艺术管理研究与实践,4,章锐,3-4(全周);3-3(全周),美术学院,47.49
雕塑形态研究,2,陈辉,3-4(5-8周);3-3(5-8周);5-6(5-8周),美术学院,43.73
家具设计实践研究,2,于历战,1-4(13-16周);1-3(13-16周),美术学院,49.02
